step,optimizer,divergence,bound,loss_gap,tightness
112,Adam,0.004259426612406969,0.01139111070492958,0.00032677546732884366,0.37392548652553026
113,Adam,0.004058203659951687,0.011515423453304977,0.00032276723732138635,0.35241462690518466
114,Adam,0.004327842965722084,0.011641092843697907,0.00053784392957823,0.3717729103127145
115,Adam,0.004082149360328913,0.011768133681328166,0.0005616161670332076,0.34688162718663107
116,Adam,0.0036319277714937925,0.011896560932986945,0.0004304111506598929,0.30529224302320296
117,Adam,0.0028201951645314693,0.012026389728800069,0.00020725633271467814,0.23450056318878781
118,Adam,0.0032394053414463997,0.012157635364010499,0.0002965518015116686,0.2664502795531944
119,Adam,0.0035847381222993135,0.012290313300780266,0.000385305866757335,0.2916718259795486
120,Adam,0.0028046101797372103,0.012424439170012099,0.000167865073763096,0.22573334227483519
121,Adam,0.003131037810817361,0.012560028773190896,0.00016985193815344246,0.24928587882700493
122,Adam,0.003533200593665242,0.012697098084245328,0.0002564649837495381,0.278268354723452
123,Adam,0.0027103014290332794,0.012835663251429723,0.00015496178252760728,0.21115398370484578
124,Adam,0.0022089609410613775,0.012975740599226529,0.0001441553890799696,0.17023775438243977
125,Adam,0.002420766744762659,0.013117346630269493,0.00016224101091211196,0.18454698293757943
126,Adam,0.0026092594489455223,0.013260498027287862,0.00014428307713387767,0.19676934030502533
127,Adam,0.002521578222513199,0.013405211655071792,0.00013242329021068144,0.18810431997611712
128,Adam,0.0018008098704740405,0.013551504562459193,6.460072972913622e-05,0.13288634204224828
129,Adam,0.0017119820695370436,0.013699393984344279,9.095033010453335e-05,0.12496772276886871
130,Adam,0.0018997632432729006,0.01384889734370802,0.0001337992647449937,0.13717794248334303
131,Adam,0.0012604969087988138,0.014000032253670755,5.3110766941699694e-05,0.09003528605931006
132,Adam,0.0014954854268580675,0.014152816519567221,5.273487214907391e-05,0.10566698330261388
133,Adam,0.001937172724865377,0.0143072681410442,9.596241356746305e-05,0.1353978066090816
134,Adam,0.0015903416788205504,0.01446340531418108,5.899036705159233e-05,0.10995624089032838
135,Adam,0.0013621612451970577,0.014621246433633559,3.9445994389097905e-05,0.09316314114394855
136,Adam,0.0014339457266032696,0.01478081009480072,3.847504950726943e-05,0.09701401461802643
137,Adam,0.0014806479448452592,0.014942115096015776,4.223965510163907e-05,0.0990922593843535
138,Adam,0.0014062661211937666,0.015105180440760728,4.741910552752415e-05,0.09309826696270462
139,Adam,0.0011813523015007377,0.015270025339905168,3.1375076815720604e-05,0.07736413497713779
140,Adam,0.0013053331058472395,0.015436669213969538,3.836362220965839e-05,0.08456054138064757
141,Adam,0.0012094407575204968,0.015605131695413074,3.4756710675765135e-05,0.07750275878004902
142,Adam,0.0006646480760537088,0.01577543263094672,8.299883518247952e-06,0.0421318445967603
143,Adam,0.0007912407745607197,0.015947592083871295,1.688446945991018e-05,0.04961506228648439
144,Adam,0.0010015757288783789,0.016121630336441154,2.6789904779889184e-05,0.062126206095572616
145,Adam,0.0009320192621089518,0.01629756789225368,2.0110298649456126e-05,0.057187628747473754
146,Adam,0.000902894651517272,0.016475425478664804,1.8005387062203226e-05,0.054802508905551134
147,Adam,0.0008807091508060694,0.016655224049230935,1.7554964827581898e-05,0.0528788533977564
148,Adam,0.0008388499263674021,0.0168369847861775,1.8539172321752062e-05,0.049821861634992075
149,Adam,0.0005411453312262893,0.017020729102894462,8.211598906626705e-06,0.03179331084790397
150,Adam,0.0003459375293459743,0.017206478646459012,3.019674888804502e-06,0.020105074167349527
151,Adam,0.0006795034278184175,0.017394255300185874,1.2371879698491739e-05,0.03906481859048926
152,Adam,0.0006778717506676912,0.01758408118620537,1.0234436203404584e-05,0.038550308286763285
153,Adam,0.000615968368947506,0.01777597866806966,8.578632773037498e-06,0.034651727505386094
154,Adam,0.0006185516249388456,0.017969970353387394,1.1061025723790863e-05,0.03442140486460217
155,Adam,0.00045535695971921086,0.01816607909648716,6.434154922629887e-06,0.025066331446683222
156,Adam,0.0003762568230740726,0.018364328001109948,4.0891077439653145e-06,0.020488461274016205
157,Adam,0.0003821185964625329,0.018564740423131033,3.223975678423585e-06,0.02058302932081001
158,Adam,0.00045628767111338675,0.018767339973311557,4.962268462804786e-06,0.02431285796294302
159,Adam,0.0004660194681491703,0.018972150520080118,5.618335134016661e-06,0.024563344448270925
160,Adam,0.00035194485099054873,0.019179196192344743,2.3959037953602547e-06,0.018350344167761594
161,Adam,0.0004643441934604198,0.019388501382335527,4.853508380975313e-06,0.023949462844171876
162,Adam,0.000477494701044634,0.01960009074847831,4.947396064380882e-06,0.024361861747079164
163,Adam,0.0003133331483695656,0.01981398921829971,1.5527095236222976e-06,0.015813733666523794
164,Adam,0.00028047579689882696,0.020030221991363832,2.270254790381898e-06,0.014002630476075403
165,Adam,0.00027788791339844465,0.02024881454224109,2.345452508656365e-06,0.013723663319585556
166,Adam,0.000291971315164119,0.020469792623509356,2.002471692463814e-06,0.014263520912702986
167,Adam,0.00028625206323340535,0.020693182268787906,1.7945449206635544e-06,0.013833158163651185
168,Adam,0.00027342006796970963,0.02091900979580446,1.7810977626098179e-06,0.01307041158442151
169,Adam,0.0003016113769263029,0.02114730180949571,2.1683168274222453e-06,0.014262404709752203
170,Adam,0.000264652946498245,0.02137808520514165,1.0707259487929832e-06,0.012379637556809495
171,Adam,0.0002766411635093391,0.02161138717153414,1.301639223960649e-06,0.012800712944226106
172,Adam,0.00025483130593784153,0.021847235194180043,1.4588185912600693e-06,0.011664235939828528
173,Adam,0.00013144683907739818,0.02208565705853932,4.396692743213748e-07,0.005951683426442359
174,Adam,0.00015564523346256465,0.022326680853298458,7.106652564203841e-07,0.006971266104678082
175,Adam,0.0002248812816105783,0.02257033497367961,1.0823162508444284e-06,0.009963577495541096
176,Adam,0.00024171313270926476,0.022816648124785874,1.0185542564933314e-06,0.010593717858439084
177,Adam,0.00019358332792762667,0.023065649324983062,6.03432174450802e-07,0.00839271096166155
178,Adam,0.00015539073501713574,0.02331736790931838,5.681963934911494e-07,0.006664162765774114
179,Adam,0.0001604424323886633,0.02357183353297642,7.143987228452886e-07,0.006806531709305016
180,Adam,0.00010036291496362537,0.02382907617477285,2.3271046178940935e-07,0.004211783714463789
181,Adam,9.926151687977836e-05,0.024089126140686253,4.157860318265705e-07,0.004120594342030814
182,Adam,0.0001170433170045726,0.0243520140674285,5.515261954358586e-07,0.004806309518403298
183,Adam,0.00011826273839687929,0.02461777092605409,3.411430589128628e-07,0.004803958033085624
184,Adam,0.00014129275223240256,0.024886428025608868,3.8642272337519046e-07,0.00567750229510672
185,Adam,0.00012701813830062747,0.02515801701681858,2.888411898549492e-07,0.005048813593524227
186,Adam,0.00010204311547568068,0.02543256989581767,2.4131744558175683e-07,0.004012300600910231
187,Adam,7.321070734178647e-05,0.025710119007918766,1.2607024535427058e-07,0.002847544475357638
188,Adam,0.00010121559898834676,0.025990697051423324,2.4881764271178497e-07,0.0038943010565699277
189,Adam,0.00011593127419473603,0.026274337081473823,3.334570967128414e-07,0.004412338695177958
190,Adam,7.459891639882699e-05,0.02656107251394804,9.950433710326223e-08,0.0028085807287959773
191,Adam,7.109891885193065e-05,0.026850937129395788,1.5836784306166862e-07,0.002647912008035399
192,Adam,6.614682206418365e-05,0.02714396507701864,1.5333362679559315e-07,0.002436888710860694
193,Adam,5.94101584283635e-05,0.027440190878693076,8.780336990810156e-08,0.002165078176423862
194,Adam,6.940770254004747e-05,0.02773964943303753,1.22181321060566e-07,0.0025021117410872493
195,Adam,6.354250217555091e-05,0.02804237601952384,1.290327111547196e-07,0.0022659457291105056
196,Adam,5.922969648963772e-05,0.028348406302633525,1.2759495708614121e-07,0.0020893483696166498
197,Adam,5.188830982660875e-05,0.028657776336059485,6.076812691935274e-08,0.0018106188427927244
198,Adam,6.011688310536556e-05,0.028970522566953486,8.30086929748397e-08,0.002075105237277996
199,Adam,4.6858665882609785e-05,0.02928668184022004,5.9510412764307574e-08,0.0015999991442614628
200,Adam,4.201265619485639e-05,0.02960629140285717,,0.0014190448787787698
0,AdamW,0.0,0.0,0.0,0.0
1,AdamW,0.0,0.0,0.0,0.0
2,AdamW,0.0,0.0,0.0,0.0
3,AdamW,0.0,0.0,0.0,0.0
4,AdamW,0.0,0.0,0.0,0.0
5,AdamW,0.0,0.0,0.0,0.0
6,AdamW,0.0,0.0,0.0,0.0
7,AdamW,0.0,0.0,0.0,0.0
8,AdamW,0.0,0.0,0.0,0.0
9,AdamW,0.0,0.0,0.0,0.0
10,AdamW,0.0,0.0,0.0,0.0
11,AdamW,0.0,0.0,0.0,0.0
12,AdamW,0.0,0.0,0.0,0.0
13,AdamW,0.0,0.0,0.0,0.0
14,AdamW,0.0,0.0,0.0,0.0
15,AdamW,0.0,0.0,0.0,0.0
16,AdamW,0.0,0.0,0.0,0.0
17,AdamW,0.0,0.0,0.0,0.0
18,AdamW,0.0,0.0,0.0,0.0
19,AdamW,0.0,0.0,0.0,0.0
20,AdamW,0.0,0.0,0.0,0.0
21,AdamW,0.0,0.0,0.0,0.0
22,AdamW,0.0,0.0,0.0,0.0
23,AdamW,0.0,0.0,0.0,0.0
24,AdamW,0.0,0.0,0.0,0.0
25,AdamW,0.0,0.0,0.0,0.0
26,AdamW,0.0,0.0,0.0,0.0
27,AdamW,0.0,0.0,0.0,0.0
28,AdamW,0.0,0.0,0.0,0.0
29,AdamW,0.0,0.0,0.0,0.0
30,AdamW,0.0,0.0,0.0,0.0
31,AdamW,0.0,0.0,0.0,0.0
32,AdamW,0.0,0.0,0.0,0.0
33,AdamW,0.0,0.0,0.0,0.0
34,AdamW,0.0,0.0,0.0,0.0
35,AdamW,0.0,0.0,0.0,0.0
36,AdamW,0.0,0.0,0.0,0.0
37,AdamW,0.0,0.0,0.0,0.0
38,AdamW,0.0,0.0,0.0,0.0
39,AdamW,0.0,0.0,0.0,0.0
40,AdamW,0.0,0.0,0.0,0.0
41,AdamW,0.0,0.0,0.0,0.0
42,AdamW,0.0,0.0,0.0,0.0
43,AdamW,0.0,0.0,0.0,0.0
44,AdamW,0.0,0.0,0.0,0.0
45,AdamW,0.0,0.0,0.0,0.0
46,AdamW,0.0,0.0,0.0,0.0
47,AdamW,0.0,0.0,0.0,0.0
48,AdamW,0.0,0.0,0.0,0.0
49,AdamW,0.0,0.0,0.0,0.0
50,AdamW,0.0,0.0,0.0,0.0
51,AdamW,0.0,0.0,0.0,0.0
52,AdamW,0.0,0.0,0.0,0.0
53,AdamW,0.0,0.0,0.0,0.0
54,AdamW,0.0,0.0,0.0,0.0
55,AdamW,0.0,0.0,0.0,0.0
56,AdamW,0.0,0.0,0.0,0.0
57,AdamW,0.0,0.0,0.0,0.0
58,AdamW,0.0,0.0,0.0,0.0
59,AdamW,0.0,0.0,0.0,0.0
60,AdamW,0.0,0.0,0.0,0.0
61,AdamW,0.0,0.0,0.0,0.0
62,AdamW,0.0,0.0,0.0,0.0
63,AdamW,0.0,0.0,0.0,0.0
64,AdamW,0.0,0.0,0.0,0.0
65,AdamW,0.0,0.0,0.0,0.0
66,AdamW,0.0,0.0,0.0,0.0
67,AdamW,0.0,0.0,0.0,0.0
68,AdamW,0.0,0.0,0.0,0.0
69,AdamW,0.0,0.0,0.0,0.0
70,AdamW,0.0,0.0,0.0,0.0
71,AdamW,0.0,0.0,0.0,0.0
72,AdamW,0.0,0.0,0.0,0.0
73,AdamW,0.0,0.0,0.0,0.0
74,AdamW,0.0,0.0,0.0,0.0
75,AdamW,0.0,0.0,0.0,0.0
76,AdamW,0.0,0.0,0.0,0.0
77,AdamW,0.0,0.0,0.0,0.0
78,AdamW,0.0,0.0,0.0,0.0
79,AdamW,0.0,0.0,0.0,0.0
80,AdamW,0.0,0.0,0.0,0.0
81,AdamW,0.0,0.0,0.0,0.0
82,AdamW,0.0,0.0,0.0,0.0
83,AdamW,0.0,0.0,0.0,0.0
84,AdamW,0.0,0.0,0.0,0.0
85,AdamW,0.0,0.0,0.0,0.0
86,AdamW,0.0,0.0,0.0,0.0
87,AdamW,0.0,0.0,0.0,0.0
88,AdamW,0.0,0.0,0.0,0.0
89,AdamW,0.0,0.0,0.0,0.0
90,AdamW,0.0,0.0,0.0,0.0
91,AdamW,0.0,0.0,0.0,0.0
92,AdamW,0.0,0.0,0.0,0.0
93,AdamW,0.0,0.0,0.0,0.0
94,AdamW,0.0,0.0,0.0,0.0
95,AdamW,0.0,0.0,0.0,0.0
96,AdamW,0.0,0.0,0.0,0.0
97,AdamW,0.0,0.0,0.0,0.0
98,AdamW,0.0,0.0,0.0,0.0
99,AdamW,0.0,0.0,0.0,0.0
100,AdamW,0.009999999776482582,0.009999999776482582,0.0034515626039137715,1.0
101,AdamW,0.007598301861435175,0.01010751838031942,0.0012980922651877336,0.751747518582801
102,AdamW,0.007992013357579708,0.010216193009199195,0.001257368738151854,0.7822887988102105
103,AdamW,0.007279060781002045,0.010326036092542054,0.0012903493625344709,0.7049230426629365
104,AdamW,0.005770904943346977,0.010437060193407528,0.0008901909250198514,0.5529243710783728
105,AdamW,0.006328073795884848,0.010549278009931412,0.0009511270118309767,0.599858472772014
106,AdamW,0.006704654544591904,0.010662702376778091,0.0008916830229281913,0.6287950566071998
107,AdamW,0.0073560019955039024,0.010777346266608472,0.0012351655159363872,0.6825429761215945
108,AdamW,0.0069244857877492905,0.010893222791563701,0.0012325871830398683,0.6356691605639413
109,AdamW,0.0048876795917749405,0.011010345204764845,0.0005745624021074036,0.4439170163038798
110,AdamW,0.004994900431483984,0.011128726901828674,0.0006494516110251425,0.4488294551161302
111,AdamW,0.005418556276708841,0.011248381422399768,0.0007543322808487574,0.48171875341268683
112,AdamW,0.004249179270118475,0.011369322451699073,0.0003242419234084082,0.37374076495503583
113,AdamW,0.004056407138705254,0.01149156382208913,0.00032355235362047097,0.35299000218821497
114,AdamW,0.00432311138138175,0.011615119514656108,0.0005375084051593149,0.3721968918121585
115,AdamW,0.004075795877724886,0.011740003660808867,0.0005596833814252022,0.3471716019417383
116,AdamW,0.0036219339817762375,0.011866230543895209,0.00042723735259642126,0.30523037356960886
117,AdamW,0.0028124789241701365,0.011993814600835498,0.00020551266595703055,0.23449411365540176
118,AdamW,0.0032398768234997988,0.012122770423773856,0.0002970171101424057,0.26725547958460927
119,AdamW,0.0035741652827709913,0.0122531127617471,0.00038303762767100125,0.2916944740710419
120,AdamW,0.0027937376871705055,0.01238485652237164,0.00016575361451032222,0.22557691178125316
121,AdamW,0.0031328352633863688,0.012518016773548496,0.0001705228182800056,0.25026610205590105
122,AdamW,0.0035239725839346647,0.012652608745186665,0.0002552135413225187,0.2785174705789636
123,AdamW,0.002695076633244753,0.012788647830944997,0.00015332784050769988,0.21073976458429103
124,AdamW,0.002205065917223692,0.012926149589992822,0.00014390956550869305,0.1705895403632658
125,AdamW,0.0024190391413867474,0.01306512974878948,0.00016138344039973163,0.1851523243855177
126,AdamW,0.0026057162322103977,0.013205604202883027,0.00014357742304582644,0.1973189709594296
127,AdamW,0.002510262653231621,0.013347589018728217,0.00013124837073519302,0.188068620460926
128,AdamW,0.0017874761251732707,0.013491100435524105,6.375912721523491e-05,0.13249298185243483
129,AdamW,0.0017124594887718558,0.013636154867071332,9.146794764092192e-05,0.12558228514308775
130,AdamW,0.001891584717668593,0.01378276890364945,0.00013264263429846324,0.1372427217558391
131,AdamW,0.0012503144098445773,0.013930959313914379,5.181417088806484e-05,0.08975077607151943
132,AdamW,0.0015012663789093494,0.014080743046816292,5.3172987421135076e-05,0.10661840599731641
133,AdamW,0.00193151889834553,0.014232137233538108,9.537579435203725e-05,0.13571530871652188
134,AdamW,0.00157883670181036,0.014385159189454842,5.800863812055468e-05,0.10975455196684504
135,AdamW,0.0013585222186520696,0.014539826416114007,3.9199995228500484e-05,0.09343455552856288
136,AdamW,0.0014313122956082225,0.014696156603237313,3.8221273484850826e-05,0.09739364748555611
137,AdamW,0.0014769254485145211,0.01485416763074389,4.213909164718643e-05,0.09942835473713832
138,AdamW,0.0013983675744384527,0.01501387757079528,4.6933423533346286e-05,0.09313833603908772
139,AdamW,0.0011762288631871343,0.015175304689862366,3.099932095551594e-05,0.07750940671213648
140,AdamW,0.001303534721955657,0.015338467450814599,3.831072531568225e-05,0.0849846783021617
141,AdamW,0.0011980172712355852,0.015503384515031615,3.405989593829872e-05,0.07727456350411897
142,AdamW,0.0006548736710101366,0.015670074744537615,8.027175340430404e-06,0.04179135592434982
143,AdamW,0.0007957991329021752,0.015838557204158648,1.7134510699179373e-05,0.05024442079189046
144,AdamW,0.0009988929377868772,0.016008851163703115,2.656545341039873e-05,0.06239629112497892
145,AdamW,0.0009279260993935168,0.016180976100165712,1.985945837645886e-05,0.05734673196779604
146,AdamW,0.0008994605159386992,0.016354951699955076,1.782863409971469e-05,0.05499621964283575
147,AdamW,0.0008767096442170441,0.01653079786114535,1.7414490606881827e-05,0.05303492617725958
148,AdamW,0.000832042598631233,0.01670853469575201,1.8291187842578438e-05,0.04979746062608184
149,AdamW,0.0005294376169331372,0.01688818253203211,7.86030327404319e-06,0.03134959110780237
150,AdamW,0.0003512938565108925,0.017069761916809298,3.1279584256083126e-06,0.02057989198812193
151,AdamW,0.0006812902283854783,0.017253293617823805,1.2401251019866777e-05,0.03948754617388879
152,AdamW,0.0006728277076035738,0.01743879862610771,1.0021669766047125e-05,0.038582228170023145
153,AdamW,0.0006141377380117774,0.017626298158385734,8.575119167630874e-06,0.03484212808005863
154,AdamW,0.0006139684119261801,0.01781581365950188,1.091457015078845e-05,0.0344619911085973
155,AdamW,0.0004488774575293064,0.018007366804872114,6.247660465419358e-06,0.024927434554610012
156,AdamW,0.0003739702806342393,0.018200979502963458,4.020076900701497e-06,0.020546711816984906
157,AdamW,0.0003808571200352162,0.01839667389779972,3.1917513574342138e-06,0.0207024988403348
158,AdamW,0.00045639718882739544,0.018594472371494163,4.994846342754045e-06,0.02454477759353177
159,AdamW,0.000461545743746683,0.018794397546809404,5.5019617768437e-06,0.024557623759801573
160,AdamW,0.0003500983293633908,0.01899647228974487,2.3540930342846877e-06,0.018429649675134118
161,AdamW,0.0004653852083720267,0.019200719712152006,4.885684738553664e-06,0.024237904378005555
162,AdamW,0.0004717338888440281,0.019407163174377677,4.798309468867501e-06,0.024307204747308724
163,AdamW,0.0003077593573834747,0.01961582628793594,1.4974266946410353e-06,0.015689339458147215
164,AdamW,0.0002793440071400255,0.019826732918208547,2.276379208687729e-06,0.01408926061053057
165,AdamW,0.0002763303346000612,0.02003990718717453,2.302796935360618e-06,0.013789002714389398
166,AdamW,0.00029131839983165264,0.020255373476169052,1.9829944521987386e-06,0.014382277383055708
167,AdamW,0.0002839567023329437,0.02047315642867202,1.764136645654446e-06,0.013869708040489112
168,AdamW,0.0002728576655499637,0.02069328095312658,1.7790255046890024e-06,0.01318580974027404
169,AdamW,0.00029952259501442313,0.02091577222578801,2.125328439461782e-06,0.014320417710665641
170,AdamW,0.0002618586295284331,0.021140655693603145,1.0312717106941705e-06,0.012386495164748731
171,AdamW,0.00027558603323996067,0.021367957077120876,1.3113563213096313e-06,0.012897163366873124
172,AdamW,0.0002502903516869992,0.021597702373433832,1.4150271194779407e-06,0.011588748995581486
173,AdamW,0.00012773291382472962,0.021829917859151764,4.2134002775640056e-07,0.005851277803648725
174,AdamW,0.00015772358165122569,0.022064630093406878,7.220409692365592e-07,0.007148254060164598
175,AdamW,0.0002249630051665008,0.022301865920891447,1.071669245789053e-06,0.010087183106762604
176,AdamW,0.0002396667841821909,0.022541652474928144,9.973327923518127e-07,0.010632174568779252
177,AdamW,0.00019001502369064838,0.022784017180573365,5.817604384894537e-07,0.008339838501028842
178,AdamW,0.00015444574819412082,0.02302898775775386,5.7024742616818e-07,0.006706579977320929
179,AdamW,0.00015839788829907775,0.023276592224437176,6.946150779008065e-07,0.006805029137073685
180,AdamW,9.764615970198065e-05,0.023526858899836158,2.207875695603434e-07,0.004150412093586393
181,AdamW,0.00010008449316956103,0.023779816407647866,4.2506886110960096e-07,0.004208800078766491
182,AdamW,0.00011600947618717328,0.024035493679327356,5.368627414847893e-07,0.004826590114392019
183,AdamW,0.00011817399354185909,0.024293919957396673,3.344578785036134e-07,0.00486434440177198
184,AdamW,0.0001403910864610225,0.02455512479878937,3.802510730732678e-07,0.005717384359127515
185,AdamW,0.00012508750660344958,0.02481913807823104,2.811725345885918e-07,0.005039961750854044
186,AdamW,0.00010018814646173269,0.02508598999165615,2.3543685778726342e-07,0.003993788823764032
187,AdamW,7.243687286973e-05,0.02535571105966166,1.2221253098410045e-07,0.0028568267203900126
188,AdamW,0.00010215657675871626,0.02562833213099772,2.543751973504982e-07,0.003986079789997605
189,AdamW,0.00011429526784922928,0.025903884386095952,3.2207257161243064e-07,0.004412282966742157
190,AdamW,7.267024921020493e-05,0.026182399340635636,9.361850739075805e-08,0.002775538187496024
191,AdamW,7.09081141394563e-05,0.02646390884914823,1.5994990931744724e-07,0.0026794270847761994
192,AdamW,6.49068460916169e-05,0.02674844510866068,1.4673083625904582e-07,0.0024265652013769276
193,AdamW,5.944884833297692e-05,0.027036040662377882,8.718213384550921e-08,0.002198874053910683
194,AdamW,6.893903628224507e-05,0.02732672840340475,1.2107217084444954e-07,0.002522769475531351
195,AdamW,6.289950397331268e-05,0.027620541578508236,1.2770888088708965e-07,0.0022772726521139352
196,AdamW,5.843603503308259e-05,0.027917513791919927,1.2331912147001134e-07,0.0020931675889418037
197,AdamW,5.153292659088038e-05,0.028217679009179427,5.83311442620138e-08,0.0018262638317671812
198,AdamW,5.97045618633274e-05,0.02852107156101908,8.294873532488367e-08,0.002093349183448215
199,AdamW,4.53927532362286e-05,0.02882772614729047,5.566323402206308e-08,0.0015746213559925566
200,AdamW,4.268882912583649e-05,0.029137677840933168,,0.001465073138596735
0,SGD,0.0,0.0,0.0,0.0
1,SGD,0.0,0.0,0.0,0.0
2,SGD,0.0,0.0,0.0,0.0
3,SGD,0.0,0.0,0.0,0.0
4,SGD,0.0,0.0,0.0,0.0
5,SGD,0.0,0.0,0.0,0.0
6,SGD,0.0,0.0,0.0,0.0
7,SGD,0.0,0.0,0.0,0.0
8,SGD,0.0,0.0,0.0,0.0
9,SGD,0.0,0.0,0.0,0.0
10,SGD,0.0,0.0,0.0,0.0
11,SGD,0.0,0.0,0.0,0.0
12,SGD,0.0,0.0,0.0,0.0
