row_id,continuation_step,parameter_divergence_after_update,status,blocker
gpu_seed1101_ckpt75_optimizer_reset,0,0.0,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,1,3.588268280029297,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,2,5.380219459533691,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,3,6.808820724487305,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,4,8.049033164978027,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,5,9.191717147827148,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,6,10.229436874389648,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,7,11.20024299621582,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,8,12.087366104125977,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,9,12.934453010559082,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,10,13.758225440979004,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,11,14.517342567443848,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,12,15.238125801086426,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
gpu_seed1101_ckpt75_optimizer_reset,13,15.91478443145752,not_computed_from_frozen_rows,source/candidate update vectors and moment discrepancy tensors were not persisted
